statistic_yyy,district_code,site_id,village,edu_age_15up_total,edu_doctor_graduated_m,edu_doctor_graduated_f,edu_doctor_ungraduated_m,edu_doctor_ungraduated_f,edu_master_graduated_m,edu_master_graduated_f,edu_master_ungraduated_m,edu_master_ungraduated_f,edu_university_graduated_m,edu_university_graduated_f,edu_university_ungraduated_m,edu_university_ungraduated_f,edu_juniorcollege_2ys_graduated_m,edu_juniorcollege_2ys_graduated_f,edu_juniorcollege_2ys_ungraduated_m,edu_juniorcollege_2ys_ungraduated_f,edu_juniorcollege_5ys_final2y_graduated_m,edu_juniorcollege_5ys_final2y_graduated_f,edu_juniorcollege_5ys_final2y_ungraduated_m,edu_juniorcollege_5ys_final2y_ungraduated_f,edu_senior_graduated_m,edu_senior_graduated_f,edu_senior_ungraduated_m,edu_senior_ungraduated_f,edu_seniorvocational_graduated_m,edu_seniorvocational_graduated_f,edu_seniorvocational_ungraduated_m,edu_seniorvocational_ungraduated_f,edu_juniorcollege_5ys_first3y_ungraduated_m,edu_juniorcollege_5ys_first3y_ungraduated_f,edu_junior_graduated_m,edu_junior_graduated_f,edu_junior_ungraduated_m,edu_junior_ungraduated_f,edu_juniorvocational_graduated_m,edu_juniorvocational_graduated_f,edu_juniorvocational_ungraduated_m,edu_juniorvocational_ungraduated_f,edu_primary_graduated_m,edu_primary_graduated_f,edu_primary_ungraduated_m,edu_primary_ungraduated_f,edu_selftaughtl_m,edu_selftaughtl_f,edu_illiterate_m,edu_illiterate_f
統計年,區域別代碼,區域別,村里名稱,總計,博畢_男,博畢_女,博肄_男,博肄_女,碩畢_男,碩畢_女,碩肄_男,碩肄_女,大畢_男,大畢_女,大肄_男,大肄_女,二畢_男,二畢_女,二肄_男,二肄_女,後二畢_男,後二畢_女,後二肄_男,後二肄_女,高畢_男,高畢_女,高肄_男,高肄_女,職畢_男,職畢_女,職肄_男,職肄_女,前三肄_男,前三肄_女,國畢_男,國畢_女,國肄_男,國肄_女,初畢_男,初畢_女,初肄_男,初肄_女,小畢_男,小畢_女,小肄_男,小肄_女,自修_男,自修_女,不識_男,不識_女
108,65000010001,新北市板橋區,留侯里,1441,5,1,2,2,51,31,9,6,159,168,54,48,38,32,7,3,47,34,0,0,72,58,16,19,105,139,21,12,4,4,44,75,7,9,12,37,0,0,26,71,2,6,0,2,0,3
108,65000010002,新北市板橋區,流芳里,1319,7,2,2,2,49,38,14,12,148,197,45,37,35,49,2,5,46,45,2,2,56,50,16,18,77,103,15,9,7,6,29,44,5,11,20,23,0,0,26,59,0,3,0,0,0,3
108,65000010003,新北市板橋區,赤松里,790,5,2,0,0,36,36,5,8,106,120,36,22,12,23,3,3,29,24,1,1,31,24,11,12,41,58,8,5,1,2,25,23,5,6,0,3,0,0,18,35,0,5,0,0,1,4
108,65000010004,新北市板橋區,黃石里,1012,4,2,3,0,27,44,2,4,122,128,43,18,28,39,3,5,27,19,1,0,45,54,27,18,75,83,7,10,4,3,34,36,2,7,1,1,0,0,25,54,0,4,0,0,1,2
108,65000010005,新北市板橋區,挹秀里,1703,16,5,5,2,88,65,19,17,229,264,57,38,54,62,14,7,75,50,1,5,54,66,24,21,102,132,19,17,0,2,35,55,9,7,1,0,0,0,20,53,5,4,0,1,1,2
108,65000010006,新北市板橋區,湳興里,4808,6,5,7,2,170,111,44,32,481,558,153,135,123,148,24,23,140,110,12,4,154,151,55,56,373,459,92,68,7,17,222,269,30,24,4,9,0,0,161,303,5,26,3,8,2,22
108,65000010007,新北市板橋區,新興里,2987,7,4,8,3,91,72,28,16,294,339,90,71,80,85,15,8,79,85,6,2,112,104,44,38,233,249,48,37,7,10,142,175,13,20,5,6,2,1,103,210,7,15,0,3,1,19
108,65000010008,新北市板橋區,社後里,8752,13,5,9,6,190,108,35,40,677,669,231,184,227,169,52,41,238,152,22,12,439,287,191,89,850,663,301,157,22,24,828,544,172,82,10,4,5,0,392,450,37,46,10,10,19,40
108,65000010009,新北市板橋區,香社里,3885,5,4,4,1,94,66,28,12,377,395,131,111,101,116,40,22,108,74,11,4,159,106,46,50,329,344,90,57,14,18,229,232,24,21,2,1,0,1,134,287,3,14,1,3,2,14
